id;code;date;details;status;payment_method;payment_date;payment_amount
1;mobile Fish;2019-09-25T20:16:55;Savings Account Dam;ISSUED;CASH_ON_DELIVERY;2019-09-26T13:38:26;96990
2;parsing red Chips;2019-09-26T10:35:34;methodology Albania;ISSUED;CREDIT_CARD;2019-09-26T06:12:06;23277
3;Licensed Savings Account;2019-09-26T05:48:55;Planner Canyon;ISSUED;CREDIT_CARD;2019-09-26T09:27:11;68423
4;infomediaries;2019-09-26T12:03:56;Buckinghamshire Games;CANCELLED;PAYPAL;2019-09-26T10:33:28;3131
5;synthesizing Views e-enable;2019-09-25T16:45:17;capacitor archive;CANCELLED;CREDIT_CARD;2019-09-26T00:54:45;35675
6;mission-critical Faroe Islands Plastic;2019-09-25T19:44:31;Small;ISSUED;PAYPAL;2019-09-25T22:01:48;71134
7;1080p Checking Account Identity;2019-09-25T23:22:07;Internal;ISSUED;PAYPAL;2019-09-26T00:48:12;63755
8;COM;2019-09-26T03:39:41;Frozen bus;PAID;CREDIT_CARD;2019-09-26T04:44:01;11089
9;partnerships;2019-09-26T10:09:11;Dynamic;PAID;CREDIT_CARD;2019-09-26T10:07:15;22879
10;Generic neutral Salad;2019-09-25T16:40:55;virtual deposit;CANCELLED;PAYPAL;2019-09-26T07:21:45;90682
