id;tracking_code;date;details;invoice_id
1;contextually-based;2019-09-25T23:27:00;Jewelery cutting-edge;1
2;Games;2019-09-26T02:44:12;supply-chains magenta;2
3;encompassing;2019-09-26T09:08:08;Gloves sky blue Oklahoma;3
4;robust Engineer;2019-09-25T15:53:46;Quality-focused;4
5;card Plastic;2019-09-25T15:02:56;mission-critical;5
6;Berkshire Small Plastic Pants Investor;2019-09-26T09:14:42;Granite Berkshire Designer;6
7;Credit Card Account;2019-09-26T13:03:15;24/7 Re-contextualized cross-platform;7
8;invoice withdrawal;2019-09-26T02:08:10;Licensed hacking installation;8
9;Argentine Peso;2019-09-25T18:23:39;neural-net red;9
10;Buckinghamshire Future-proofed deposit;2019-09-26T10:48:35;Yen synthesize Creative;10
